source,record_id,title,year,venue,doi,cited_by_count,query_seed,relevance_note
Crossref,https://doi.org/10.1093/bioinformatics/btm510,Estimating parameters and hidden variables in non-linear state-space models based on ODEs for biological networks inference,2007,Bioinformatics,10.1093/bioinformatics/btm510,117,tactile inference manipulation hidden state,hidden
Crossref,https://doi.org/10.1515/jci-2017-0020,The Inflation Technique for Causal Inference with Latent Variables,2019,Journal of Causal Inference,10.1515/jci-2017-0020,108,robot manipulation latent state inference,causal
Crossref,https://doi.org/10.1126/scirobotics.abd9461,Toward next-generation learned robot manipulation,2021,Science Robotics,10.1126/scirobotics.abd9461,107,robot manipulation latent state inference,manipulation
Crossref,https://doi.org/10.1109/icra.2019.8793898,MoveIt! Task Constructor for Task-Level Motion Planning,2019,2019 International Conference on Robotics and Automation (ICRA),10.1109/icra.2019.8793898,101,task motion planning manipulation constraints,broad robotics neighbor
Crossref,https://doi.org/10.1126/scirobotics.aaw0955,Shared control–based bimanual robot manipulation,2019,Science Robotics,10.1126/scirobotics.aaw0955,98,hidden constraints robot manipulation,manipulation
Crossref,https://doi.org/10.1177/0278364910386985,Randomized multi-modal motion planning for a humanoid robot manipulation task,2011,The International Journal of Robotics Research,10.1177/0278364910386985,98,task motion planning manipulation constraints,manipulation
Crossref,https://doi.org/10.1177/0278364914545811,Efficiently combining task and motion planning using geometric constraints,2014,The International Journal of Robotics Research,10.1177/0278364914545811,84,task motion planning manipulation constraints,constraint
Crossref,https://doi.org/10.1109/icra40945.2020.9196976,Tactile Dexterity: Manipulation Primitives with Tactile Feedback,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra40945.2020.9196976,82,tactile inference manipulation hidden state,tactile;manipulation
Crossref,https://doi.org/10.1109/tro.2016.2572698,A Model for Human–Human Collaborative Object Manipulation and Its Application to Human–Robot Interaction,2016,IEEE Transactions on Robotics,10.1109/tro.2016.2572698,81,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1109/lra.2016.2517825,Learning Robot Manipulation Tasks With Task-Parameterized Semitied Hidden Semi-Markov Model,2016,IEEE Robotics and Automation Letters,10.1109/lra.2016.2517825,80,hidden constraints robot manipulation,manipulation;hidden
Crossref,https://doi.org/10.1126/scirobotics.abm6010,Learning garment manipulation policies toward robot-assisted dressing,2022,Science Robotics,10.1126/scirobotics.abm6010,79,hidden constraints robot manipulation,manipulation
Crossref,https://doi.org/10.1109/tro.2023.3300230,Global Planning for Contact-Rich Manipulation via Local Smoothing of Quasi-Dynamic Contact Models,2023,IEEE Transactions on Robotics,10.1109/tro.2023.3300230,77,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.1109/icra.2011.5980160,Combining high-level causal reasoning with low-level geometric reasoning and motion planning for robotic manipulation,2011,2011 IEEE International Conference on Robotics and Automation,10.1109/icra.2011.5980160,76,causal physical reasoning robotics manipulation,manipulation;causal
Crossref,https://doi.org/10.1609/icaps.v20i1.13436,Combined Task and Motion Planning for Mobile Manipulation,2010,Proceedings of the International Conference on Automated Planning and Scheduling,10.1609/icaps.v20i1.13436,68,task motion planning manipulation constraints,manipulation
Crossref,https://doi.org/10.1016/b978-012370880-9.00346-7,Tactile Sensory Control of Object Manipulation in Humans,2008,The Senses: A Comprehensive Reference,10.1016/b978-012370880-9.00346-7,66,tactile inference manipulation hidden state,tactile;manipulation
Crossref,https://doi.org/10.1016/j.sna.2019.07.007,Recent advances in non-contact force sensors used for micro/nano manipulation,2019,Sensors and Actuators A: Physical,10.1016/j.sna.2019.07.007,62,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.1109/lra.2019.2933815,Learning Grasp Affordance Reasoning Through Semantic Relations,2019,IEEE Robotics and Automation Letters,10.1109/lra.2019.2933815,58,robot manipulation physical reasoning support relations,broad robotics neighbor
Crossref,https://doi.org/10.1017/cbo9781139381772,Causal Reasoning in Physics,2014,,10.1017/cbo9781139381772,58,causal physical reasoning robotics manipulation,causal
Crossref,https://doi.org/10.1109/roman.2010.5598627,Load sharing in human-robot cooperative manipulation,2010,19th International Symposium in Robot and Human Interactive Communication,10.1109/roman.2010.5598627,58,hidden constraints robot manipulation,manipulation
Crossref,https://doi.org/10.1109/humanoids.2016.7803320,Adaptation of robot physical behaviour to human fatigue in human-robot co-manipulation,2016,2016 IEEE-RAS 16th International Conference on Humanoid Robots (Humanoids),10.1109/humanoids.2016.7803320,56,robot manipulation physical reasoning support relations,manipulation;physical
Crossref,https://doi.org/10.1109/41.510636,Generalized impedance control of robot for assembly tasks requiring compliant manipulation,1996,IEEE Transactions on Industrial Electronics,10.1109/41.510636,56,robot assembly fixture support manipulation,assembly;manipulation
Crossref,https://doi.org/10.1109/icra.2015.7138989,Depth-based tracking with physical constraints for robot manipulation,2015,2015 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2015.7138989,53,hidden constraints robot manipulation,constraint;manipulation;physical
Crossref,https://doi.org/10.1109/lra.2022.3150024,Residual Learning From Demonstration: Adapting DMPs for Contact-Rich Manipulation,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3150024,49,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.1126/scirobotics.abd8170,Learning where to trust unreliable models in an unstructured world for deformable object manipulation,2021,Science Robotics,10.1126/scirobotics.abd8170,49,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1093/oxfordhb/9780199399550.001.0001,The Oxford Handbook of Causal Reasoning,2017,Oxford Handbooks Online,10.1093/oxfordhb/9780199399550.001.0001,49,causal physical reasoning robotics manipulation,causal
Crossref,https://doi.org/10.1038/s41593-023-01542-x,Dopamine-independent effect of rewards on choices through hidden-state inference,2024,Nature Neuroscience,10.1038/s41593-023-01542-x,48,tactile inference manipulation hidden state,hidden
Crossref,https://doi.org/10.1109/iros.2014.6943031,Learning robot tactile sensing for object manipulation,2014,2014 IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.2014.6943031,48,object relation reasoning robot manipulation,tactile;manipulation
Crossref,https://doi.org/10.1108/01445150210423198,Tolerance analysis for fixture layout design,2002,Assembly Automation,10.1108/01445150210423198,47,robot assembly fixture support manipulation,fixture
Crossref,https://doi.org/10.7554/elife.82357,Temporal context and latent state inference in the hippocampal splitter signal,2023,eLife,10.7554/elife.82357,46,robot manipulation latent state inference,broad robotics neighbor
Crossref,https://doi.org/10.1145/2909824.3020249,A Comparison of Remote Robot Teleoperation Interfaces for General Object Manipulation,2017,Proceedings of the 2017 ACM/IEEE International Conference on Human-Robot Interaction,10.1145/2909824.3020249,45,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1109/icra.2014.6907679,Semantic labeling of 3D point clouds with object affordance for robot manipulation,2014,2014 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2014.6907679,45,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1109/robot.2010.5509923,Tactile object class and internal state recognition for mobile manipulation,2010,2010 IEEE International Conference on Robotics and Automation,10.1109/robot.2010.5509923,45,tactile inference manipulation hidden state,tactile;manipulation
Crossref,https://doi.org/10.1007/s10514-018-9772-z,Relaxed-rigidity constraints: kinematic trajectory optimization and collision avoidance for in-grasp manipulation,2019,Autonomous Robots,10.1007/s10514-018-9772-z,44,hidden constraints robot manipulation,constraint;manipulation
Crossref,https://doi.org/10.1007/s11222-014-9523-8,Inference in finite state space non parametric Hidden Markov Models and applications,2016,Statistics and Computing,10.1007/s11222-014-9523-8,43,tactile inference manipulation hidden state,hidden
Crossref,https://doi.org/10.1109/70.660851,Precision object manipulation with a multifingered robot hand,1998,IEEE Transactions on Robotics and Automation,10.1109/70.660851,43,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1109/lra.2020.3028529,Stability-Guaranteed Reinforcement Learning for Contact-Rich Manipulation,2021,IEEE Robotics and Automation Letters,10.1109/lra.2020.3028529,41,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.1109/lra.2018.2803206,Control-Aware Motion Planning for Task-Constrained Aerial Manipulation,2018,IEEE Robotics and Automation Letters,10.1109/lra.2018.2803206,41,task motion planning manipulation constraints,manipulation
Crossref,https://doi.org/10.1109/roman.2016.7745146,Realizing mixed-reality environments with tablets for intuitive human-robot collaboration for object manipulation tasks,2016,2016 25th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),10.1109/roman.2016.7745146,41,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1007/s10514-013-9372-x,Object search by manipulation,2014,Autonomous Robots,10.1007/s10514-013-9372-x,40,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1080/135467897394347,Reasoning About Relations: Spatial and Nonspatial Problems,1997,Thinking &amp; Reasoning,10.1080/135467897394347,39,robot manipulation physical reasoning support relations,broad robotics neighbor
Crossref,https://doi.org/10.1103/physrevlett.110.087001,Dynamical Formation and Manipulation of Majorana Fermions in Driven Quantum Wires in Contact with a Superconductor,2013,Physical Review Letters,10.1103/physrevlett.110.087001,38,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.1109/icra.2014.6907099,Object-centered hybrid reasoning for whole-body mobile manipulation,2014,2014 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2014.6907099,37,causal physical reasoning robotics manipulation,manipulation
Crossref,https://doi.org/10.1109/irds.2002.1043876,Effect of virtual fixture compliance on human-machine cooperative manipulation,,IEEE/RSJ International Conference on Intelligent Robots and System,10.1109/irds.2002.1043876,37,robot assembly fixture support manipulation,fixture;manipulation
Crossref,https://doi.org/10.1038/s41467-023-39825-3,Trait anxiety is associated with hidden state inference during aversive reversal learning,2023,Nature Communications,10.1038/s41467-023-39825-3,35,tactile inference manipulation hidden state,hidden
Crossref,https://doi.org/10.1109/lra.2022.3159163,Adaptive Compliant Skill Learning for Contact-Rich Manipulation With Human in the Loop,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3159163,35,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.1109/lra.2021.3074872,LaSeSOM: A Latent and Semantic Representation Framework for Soft Object Manipulation,2021,IEEE Robotics and Automation Letters,10.1109/lra.2021.3074872,35,robot manipulation latent state inference,manipulation
Crossref,https://doi.org/10.1109/icra.2013.6630637,Planning in-hand object manipulation with multifingered hands considering task constraints,2013,2013 IEEE International Conference on Robotics and Automation,10.1109/icra.2013.6630637,35,task motion planning manipulation constraints,constraint;manipulation
Crossref,https://doi.org/10.1007/978-3-642-35479-3,Semantic 3D Object Maps for Everyday Robot Manipulation,2013,Springer Tracts in Advanced Robotics,10.1007/978-3-642-35479-3,35,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.15607/rss.2006.ii.036,Elastic Roadmaps: Globally Task-Consistent Motion for Autonomous Mobile Manipulation in Dynamic Environments,2006,Robotics: Science and Systems II,10.15607/rss.2006.ii.036,35,task motion planning manipulation constraints,manipulation
Crossref,https://doi.org/10.1038/s41467-021-22396-6,Interacting with volatile environments stabilizes hidden-state inference and its brain signatures,2021,Nature Communications,10.1038/s41467-021-22396-6,34,tactile inference manipulation hidden state,hidden
Crossref,https://doi.org/10.1108/01445150610658130,Flexible fixture design with applications to assembly of sheet metal automotive body parts,2006,Assembly Automation,10.1108/01445150610658130,34,robot assembly fixture support manipulation,fixture;assembly
Crossref,https://doi.org/10.1016/s0007-8506(07)61946-5,Feature-Based Reasoning in Fixture Design,1991,CIRP Annals,10.1016/s0007-8506(07)61946-5,34,robot fixture reasoning assembly manipulation,fixture
Crossref,https://doi.org/10.1109/lra.2020.3010462,Describing Physics <i>For</i> Physical Reasoning: Force-Based Sequential Manipulation Planning,2020,IEEE Robotics and Automation Letters,10.1109/lra.2020.3010462,33,causal physical reasoning robotics manipulation,manipulation;physical
Crossref,https://doi.org/10.1109/lra.2020.2967325,Learning to Assemble: Estimating 6D Poses for Robotic Object-Object Manipulation,2020,IEEE Robotics and Automation Letters,10.1109/lra.2020.2967325,32,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1109/lra.2022.3191215,Combining Navigation and Manipulation Costs for Time-Efficient Robot Placement in Mobile Manipulation Tasks,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3191215,31,hidden constraints robot manipulation,manipulation
Crossref,https://doi.org/10.1109/lra.2018.2859448,Extraction of Physically Plausible Support Relations to Predict and Validate Manipulation Action Effects,2018,IEEE Robotics and Automation Letters,10.1109/lra.2018.2859448,31,robot manipulation physical reasoning support relations,support;manipulation;physical
Crossref,https://doi.org/10.1109/lsp.2012.2184795,Inference in Hidden Markov Models with Explicit State Duration Distributions,2012,IEEE Signal Processing Letters,10.1109/lsp.2012.2184795,31,tactile inference manipulation hidden state,hidden
Crossref,https://doi.org/10.1186/s40638-014-0021-4,State of the art: micro-nanorobotic manipulation in single cell analysis,2014,Robotics and Biomimetics,10.1186/s40638-014-0021-4,30,robot manipulation latent state inference,manipulation
Crossref,https://doi.org/10.1109/icra46639.2022.9812057,Long-Horizon Manipulation of Unknown Objects via Task and Motion Planning with Estimated Affordances,2022,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9812057,29,task motion planning manipulation constraints,manipulation
Crossref,https://doi.org/10.15607/rss.2022.xviii.011,Mesh-based Dynamics with Occlusion Reasoning for Cloth Manipulation,2022,Robotics: Science and Systems XVIII,10.15607/rss.2022.xviii.011,29,causal physical reasoning robotics manipulation,manipulation
Crossref,https://doi.org/10.3390/robotics8020046,A Tactile-Based Wire Manipulation System for Manufacturing Applications,2019,Robotics,10.3390/robotics8020046,29,tactile inference manipulation hidden state,tactile;manipulation
Crossref,https://doi.org/10.1080/13546780500368965,Temporal delays can facilitate causal attribution: Towards a general timeframe bias in causal induction,2006,Thinking &amp; Reasoning,10.1080/13546780500368965,29,causal physical reasoning robotics manipulation,causal
Crossref,https://doi.org/10.15607/rss.2025.xxi.052,Reactive Diffusion Policy: Slow-Fast Visual-Tactile Policy Learning for Contact-Rich Manipulation,2025,Robotics: Science and Systems XXI,10.15607/rss.2025.xxi.052,28,contact rich manipulation physical reasoning,contact;tactile;manipulation
Crossref,https://doi.org/10.1007/978-3-030-04858-7,Cognitive Reasoning for Compliant Robot Manipulation,2019,Springer Tracts in Advanced Robotics,10.1007/978-3-030-04858-7,28,causal physical reasoning robotics manipulation,manipulation
Crossref,https://doi.org/10.1108/01439911311320822,SwarmItFIX: a multi‐robot‐based reconfigurable fixture,2013,Industrial Robot: An International Journal,10.1108/01439911311320822,28,robot assembly fixture support manipulation,fixture
Crossref,https://doi.org/10.1109/lra.2022.3187276,Variable Impedance Skill Learning for Contact-Rich Manipulation,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3187276,27,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.1109/itsc.2017.8317738,Simultaneous policy learning and latent state inference for imitating driver behavior,2017,2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC),10.1109/itsc.2017.8317738,27,robot manipulation latent state inference,broad robotics neighbor
Crossref,https://doi.org/10.1108/01445150210446229,Computer‐aided fixture design verification,2002,Assembly Automation,10.1108/01445150210446229,27,robot assembly fixture support manipulation,fixture
Crossref,https://doi.org/10.1109/icra46639.2022.9811940,Contact-Rich Manipulation of a Flexible Object based on Deep Predictive Learning using Vision and Tactility,2022,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9811940,26,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.1109/robot.1990.126165,Learning reliable manipulation strategies without initial physical models,,"Proceedings., IEEE International Conference on Robotics and Automation",10.1109/robot.1990.126165,26,causal physical reasoning robotics manipulation,manipulation;physical
Crossref,https://doi.org/10.1109/lra.2022.3158428,Household Cloth Object Set: Fostering Benchmarking in Deformable Object Manipulation,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3158428,25,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1109/icra.2018.8463183,Realtime State Estimation with Tactile and Visual Sensing. Application to Planar Manipulation,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2018.8463183,25,tactile inference manipulation hidden state,tactile;manipulation
Crossref,https://doi.org/10.1109/roman.2011.6005258,Situation assessment for human-robot interactive object manipulation,2011,2011 RO-MAN,10.1109/roman.2011.6005258,25,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1109/robot.1989.100100,Finger force computation for manipulation of an object by a multifingered robot hand,,"Proceedings, 1989 International Conference on Robotics and Automation",10.1109/robot.1989.100100,25,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1109/tii.2022.3224966,A Human–Robot Collaboration Method Using a Pose Estimation Network for Robot Learning of Assembly Manipulation Trajectories From Demonstration Videos,2023,IEEE Transactions on Industrial Informatics,10.1109/tii.2022.3224966,23,robot assembly fixture support manipulation,assembly;manipulation
Crossref,https://doi.org/10.1109/cvpr52688.2022.01950,Object-Relation Reasoning Graph for Action Recognition,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52688.2022.01950,23,object relation reasoning robot manipulation,broad robotics neighbor
Crossref,https://doi.org/10.1109/icra48506.2021.9560895,Spatial Reasoning from Natural Language Instructions for Robot Manipulation,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48506.2021.9560895,23,causal physical reasoning robotics manipulation,manipulation
Crossref,https://doi.org/10.1109/lra.2019.2928212,Planning Approximate Exploration Trajectories for Model-Free Reinforcement Learning in Contact-Rich Manipulation,2019,IEEE Robotics and Automation Letters,10.1109/lra.2019.2928212,23,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.1108/ria-01-2023-0002,A novel human-robot skill transfer method for contact-rich manipulation task,2023,Robotic Intelligence and Automation,10.1108/ria-01-2023-0002,22,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.1109/icra48506.2021.9561891,Learning Dense Rewards for Contact-Rich Manipulation Tasks,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48506.2021.9561891,21,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.1109/icra48506.2021.9561895,Tree Search-based Task and Motion Planning with Prehensile and Non-prehensile Manipulation for Obstacle Rearrangement in Clutter,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48506.2021.9561895,21,task motion planning manipulation constraints,manipulation
Crossref,https://doi.org/10.1016/j.robot.2020.103653,SkillMaN — A skill-based robotic manipulation framework based on perception and reasoning,2020,Robotics and Autonomous Systems,10.1016/j.robot.2020.103653,21,causal physical reasoning robotics manipulation,manipulation
Crossref,https://doi.org/10.3390/app9061072,A Latent State-Based Multimodal Execution Monitor with Anomaly Detection and Classification for Robot Introspection,2019,Applied Sciences,10.3390/app9061072,21,robot manipulation latent state inference,broad robotics neighbor
Crossref,https://doi.org/10.1007/s00170-019-03488-6,Robust fixture design of compliant assembly process based on a support vector regression model,2019,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-019-03488-6,21,robot assembly fixture support manipulation,fixture;support;assembly
Crossref,https://doi.org/10.20517/ss.2022.34,"Progress on flexible tactile sensors in robotic applications on objects properties recognition, manipulation and human-machine interactions",2023,Soft Science,10.20517/ss.2022.34,20,tactile inference manipulation hidden state,tactile;manipulation
Crossref,https://doi.org/10.3389/frobt.2022.929267,Two ways to make your robot proactive: Reasoning about human intentions or reasoning about possible futures,2022,Frontiers in Robotics and AI,10.3389/frobt.2022.929267,20,robot manipulation physical reasoning support relations,broad robotics neighbor
Crossref,https://doi.org/10.1109/icra48506.2021.9561209,Continuous Optimization-Based Task and Motion Planning with Signal Temporal Logic Specifications for Sequential Manipulation,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48506.2021.9561209,20,task motion planning manipulation constraints,manipulation
Crossref,https://doi.org/10.1108/aa-11-2018-0188,An extended DMP framework for robot learning and improving variable stiffness manipulation,2019,Assembly Automation,10.1108/aa-11-2018-0188,20,robot assembly fixture support manipulation,manipulation
Crossref,https://doi.org/10.1109/icra.2019.8793572,State Estimation in Contact-Rich Manipulation,2019,2019 International Conference on Robotics and Automation (ICRA),10.1109/icra.2019.8793572,20,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.1109/tro.2024.3352969,General-Purpose Sim2Real Protocol for Learning Contact-Rich Manipulation With Marker-Based Visuotactile Sensors,2024,IEEE Transactions on Robotics,10.1109/tro.2024.3352969,19,contact rich manipulation physical reasoning,contact;tactile;manipulation
Crossref,https://doi.org/10.1109/tmech.2020.3047476,Dual Fast Marching Tree Algorithm for Human-Like Motion Planning of Anthropomorphic Arms With Task Constraints,2021,IEEE/ASME Transactions on Mechatronics,10.1109/tmech.2020.3047476,19,task motion planning manipulation constraints,constraint
Crossref,https://doi.org/10.1109/icra.2017.7989204,Estimating unknown object dynamics in human-robot manipulation tasks,2017,2017 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2017.7989204,19,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1007/s10514-013-9344-1,Improving robot manipulation with data-driven object-centric models of everyday forces,2013,Autonomous Robots,10.1007/s10514-013-9344-1,19,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1016/0921-8890(94)00029-2,Reliability and integrated capabilities of locomotion and manipulation for autonomous robot assembly,1995,Robotics and Autonomous Systems,10.1016/0921-8890(94)00029-2,19,robot assembly fixture support manipulation,assembly;manipulation
Crossref,https://doi.org/10.1109/icra55743.2025.11128061,ForceMimic: Force-Centric Imitation Learning with Force-Motion Capture System for Contact-Rich Manipulation,2025,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11128061,18,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.1016/j.actaastro.2022.07.005,Motion planning of a free-flying space robot system under end effector task constraints,2022,Acta Astronautica,10.1016/j.actaastro.2022.07.005,18,task motion planning manipulation constraints,constraint
Crossref,https://doi.org/10.1109/icra46639.2022.9812055,Visually Grounded Task and Motion Planning for Mobile Manipulation,2022,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9812055,18,task motion planning manipulation constraints,manipulation
Crossref,https://doi.org/10.1109/icra40945.2020.9197517,Robot Telekinesis: Application of a Unimanual and Bimanual Object Manipulation Technique to Robot Control,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra40945.2020.9197517,18,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.5014/ajot.45.9.811,The Effects of Tactile Defensiveness and Tactile Discrimination on In-Hand Manipulation,1991,The American Journal of Occupational Therapy,10.5014/ajot.45.9.811,18,tactile inference manipulation hidden state,tactile;manipulation
Crossref,https://doi.org/10.1109/lra.2023.3265893,ERRA: An Embodied Representation and Reasoning Architecture for Long-Horizon Language-Conditioned Manipulation Tasks,2023,IEEE Robotics and Automation Letters,10.1109/lra.2023.3265893,17,robot manipulation physical reasoning support relations,manipulation
Crossref,https://doi.org/10.1109/icra40945.2020.9197409,Accurate Vision-based Manipulation through Contact Reasoning,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra40945.2020.9197409,17,causal physical reasoning robotics manipulation,contact;manipulation
Crossref,https://doi.org/10.1108/aa-12-2017-190,Flexible co-manipulation and transportation with mobile multi-robot system,2019,Assembly Automation,10.1108/aa-12-2017-190,17,robot assembly fixture support manipulation,manipulation
Crossref,https://doi.org/10.1109/70.611297,A method of progressive constraints for manipulation planning,1997,IEEE Transactions on Robotics and Automation,10.1109/70.611297,17,hidden constraints robot manipulation,constraint;manipulation
Crossref,https://doi.org/10.1109/tro.2022.3188163,Enabling Visual Action Planning for Object Manipulation Through Latent Space Roadmap,2023,IEEE Transactions on Robotics,10.1109/tro.2022.3188163,16,robot manipulation latent state inference,manipulation
Crossref,https://doi.org/10.3389/frobt.2022.999348,"Performance measures to benchmark the grasping, manipulation, and assembly of deformable objects typical to manufacturing applications",2022,Frontiers in Robotics and AI,10.3389/frobt.2022.999348,16,robot assembly fixture support manipulation,assembly;manipulation
Crossref,https://doi.org/10.1109/iros40897.2019.8967983,GRIP: Generative Robust Inference and Perception for Semantic Robot Manipulation in Adversarial Environments,2019,2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros40897.2019.8967983,16,robot manipulation latent state inference,manipulation
Crossref,https://doi.org/10.1007/s12369-014-0246-y,"Towards Human-Level Semantics Understanding of Human-Centered Object Manipulation Tasks for HRI: Reasoning About Effect, Ability, Effort and Perspective Taking",2014,International Journal of Social Robotics,10.1007/s12369-014-0246-y,16,causal physical reasoning robotics manipulation,manipulation
Crossref,https://doi.org/10.1145/1330572.1330577,Learning object-manipulation verbs for human-robot communication,2007,Proceedings of the 2007 workshop on Multimodal interfaces in semantic interaction,10.1145/1330572.1330577,16,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1080/135467800393920,Superordinate principles in reasoning with causal and deontic conditionals,2000,Thinking &amp; Reasoning,10.1080/135467800393920,16,causal physical reasoning robotics manipulation,causal
Crossref,https://doi.org/10.1109/icra48506.2021.9561439,Causal Reasoning in Simulation for Structure and Transfer Learning of Robot Manipulation Policies,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48506.2021.9561439,15,causal physical reasoning robotics manipulation,manipulation;causal
Crossref,https://doi.org/10.1142/s0219843618500123,Sensitive Manipulation: Manipulation Through Tactile Feedback,2018,International Journal of Humanoid Robotics,10.1142/s0219843618500123,15,tactile inference manipulation hidden state,tactile;manipulation
